구_x,동,전용면적,층,추정월세,업종,구_y,추정매출
송파구,잠실동,100,2,288.7985925318055,학원,송파구,2175.1
강남구,역삼동,100,2,344.3065870915767,슈퍼마켓,강남구,2766.7337423312883
강남구,역삼동,100,2,344.3065870915767,음식점,강남구,2043.9254658385094
강남구,역삼동,100,2,344.3065870915767,카페,강남구,1415.7153024911033
강남구,역삼동,100,2,344.3065870915767,학원,강남구,2670.898701298702
강남구,개포동,100,2,345.7917213348986,슈퍼마켓,강남구,830.0
강남구,개포동,100,2,345.7917213348986,음식점,강남구,1581.2457142857147
강남구,개포동,100,2,345.7917213348986,카페,강남구,796.9263157894736
강남구,개포동,100,2,345.7917213348986,학원,강남구,1737.86
강남구,세곡동,100,2,354.8260166047493,슈퍼마켓,강남구,3875.8769230769235
강남구,세곡동,100,2,354.8260166047493,음식점,강남구,2024.143820224719
강남구,세곡동,100,2,354.8260166047493,카페,강남구,1335.1671232876713
강남구,세곡동,100,2,354.8260166047493,학원,강남구,2750.9925925925927
강남구,일원동,100,2,355.1521751504619,슈퍼마켓,강남구,1665.68
강남구,일원동,100,2,355.1521751504619,음식점,강남구,1662.6400000000003
강남구,일원동,100,2,355.1521751504619,카페,강남구,606.08
강남구,일원동,100,2,355.1521751504619,학원,강남구,944.0799999999999
강남구,대치동,100,2,355.5041416047493,슈퍼마켓,강남구,2814.3835051546394
강남구,대치동,100,2,355.5041416047493,음식점,강남구,2729.0720812182744
강남구,대치동,100,2,355.5041416047493,카페,강남구,1720.8376963350784
강남구,대치동,100,2,355.5041416047493,학원,강남구,2768.384
강남구,삼성동,100,2,365.5082857294624,슈퍼마켓,강남구,2964.1216000000004
강남구,삼성동,100,2,365.5082857294624,음식점,강남구,2345.075409836066
강남구,삼성동,100,2,365.5082857294624,카페,강남구,1797.7965714285715
강남구,삼성동,100,2,365.5082857294624,학원,강남구,1496.8842105263159
강남구,논현동,100,2,377.3743918792092,슈퍼마켓,강남구,2570.319101123596
강남구,논현동,100,2,377.3743918792092,음식점,강남구,2214.657677902622
강남구,논현동,100,2,377.3743918792092,카페,강남구,1170.7636363636364
강남구,논현동,100,2,377.3743918792092,학원,강남구,1466.3436619718311
강남구,도곡동,100,2,387.69258203699405,슈퍼마켓,강남구,1284.888888888889
강남구,도곡동,100,2,387.69258203699405,음식점,강남구,1689.7846153846149
강남구,도곡동,100,2,387.69258203699405,카페,강남구,1907.5034482758617
강남구,신사동,100,2,411.40023749621184,슈퍼마켓,강남구,2379.92
강남구,신사동,100,2,411.40023749621184,음식점,강남구,2001.968
강남구,신사동,100,2,411.40023749621184,카페,강남구,1692.585074626866
강남구,신사동,100,2,411.40023749621184,학원,강남구,2787.1200000000003
강남구,청담동,100,2,429.32316692789135,슈퍼마켓,강남구,2894.6285714285714
강남구,청담동,100,2,429.32316692789135,음식점,강남구,2990.1767441860466
강남구,청담동,100,2,429.32316692789135,카페,강남구,1318.097902097902
강남구,청담동,100,2,429.32316692789135,학원,강남구,1431.5333333333335
서대문구,홍은동,60,1,212.89711741333,슈퍼마켓,서대문구,975.620731707317
서대문구,홍은동,60,1,212.89711741333,음식점,서대문구,433.94024390243897
서대문구,홍은동,60,1,212.89711741333,카페,서대문구,434.77142857142854
서대문구,홍은동,60,1,212.89711741333,학원,서대문구,506.7551282051282
송파구,오금동,60,1,214.62457324671337,슈퍼마켓,송파구,1259.4604166666666
송파구,오금동,60,1,214.62457324671337,음식점,송파구,742.5283018867924
송파구,오금동,60,1,214.62457324671337,카페,송파구,305.4935483870968
송파구,오금동,60,1,214.62457324671337,학원,송파구,767.7249999999999
광진구,광장동,60,1,218.25614009738737,슈퍼마켓,광진구,846.965
광진구,광장동,60,1,218.25614009738737,음식점,광진구,723.205
광진구,광장동,60,1,218.25614009738737,카페,광진구,602.113953488372
광진구,광장동,60,1,218.25614009738737,학원,광진구,244.56249999999997
송파구,가락동,60,1,223.8076454551887,슈퍼마켓,송파구,1400.0
송파구,가락동,60,1,223.8076454551887,음식점,송파구,773.3170454545455
송파구,가락동,60,1,223.8076454551887,카페,송파구,516.928125
송파구,가락동,60,1,223.8076454551887,학원,송파구,532.0403846153846
송파구,거여동,60,1,224.6457607627933,음식점,송파구,728.105
송파구,거여동,60,1,224.6457607627933,카페,송파구,272.94166666666666
송파구,거여동,60,1,224.6457607627933,학원,송파구,768.3846153846152
광진구,구의동,60,1,225.4769765996245,슈퍼마켓,광진구,811.4305084745763
광진구,구의동,60,1,225.4769765996245,음식점,광진구,705.6348258706468
광진구,구의동,60,1,225.4769765996245,카페,광진구,569.5695652173913
광진구,구의동,60,1,225.4769765996245,학원,광진구,518.6005681818182
광진구,군자동,60,1,225.68863129554305,슈퍼마켓,광진구,933.1699999999998
광진구,군자동,60,1,225.68863129554305,음식점,광진구,1065.2061538461537
광진구,군자동,60,1,225.68863129554305,카페,광진구,271.62978723404257
광진구,군자동,60,1,225.68863129554305,학원,광진구,535.8266666666667
송파구,풍납동,60,1,225.92869462145177,슈퍼마켓,송파구,1837.7210526315787
송파구,풍납동,60,1,225.92869462145177,음식점,송파구,328.545
송파구,풍납동,60,1,225.92869462145177,카페,송파구,230.96499999999997
송파구,풍납동,60,1,225.92869462145177,학원,송파구,560.4
서대문구,홍제동,60,1,230.47864647658847,슈퍼마켓,서대문구,917.2866141732283
서대문구,홍제동,60,1,230.47864647658847,음식점,서대문구,493.63124999999997
서대문구,홍제동,60,1,230.47864647658847,카페,서대문구,233.6875
서대문구,홍제동,60,1,230.47864647658847,학원,서대문구,479.34065040650404
광진구,중곡동,60,1,231.0131815270326,슈퍼마켓,광진구,944.3279999999999
광진구,중곡동,60,1,231.0131815270326,음식점,광진구,443.98209459459457
광진구,중곡동,60,1,231.0131815270326,카페,광진구,215.30155038759688
광진구,중곡동,60,1,231.0131815270326,학원,광진구,451.94333333333327
서대문구,북가좌동,60,1,232.62753449230087,슈퍼마켓,서대문구,785.75
서대문구,북가좌동,60,1,232.62753449230087,음식점,서대문구,688.9879629629628
서대문구,북가좌동,60,1,232.62753449230087,카페,서대문구,196.93799999999996
